time ,id ,gender ,age 
1,0,NULL,NULL
2,0,NULL,NULL
3,0,NULL,NULL
4,1,M,30
5,1,M,34
6,1,M,27
7,1,M,37
8,1,M,34
9,1,M,38
10,1,M,30
11,2,M,32
12,2,M,27
13,2,M,37
14,2,M,38
15,2,M,32
16,2,M,31
17,2,M,35
18,2,M,32
19,3,F,32
20,3,F,29
21,3,F,29
22,3,F,31
23,3,F,27
24,3,F,36
25,3,F,24
26,4,M,24
27,4,M,27
28,4,M,29
29,4,M,27
30,4,M,24
31,3,F,27
32,4,M,38
33,4,M,33
34,4,M,24
35,4,M,25
36,4,M,28
37,4,M,30
38,3,F,33
39,4,M,38
40,4,M,24
41,5,M,31
42,5,M,30
43,5,M,24
44,5,M,28
45,5,M,31
46,5,M,31
47,5,M,36
48,5,M,38
49,5,M,27
50,5,M,34
51,5,M,37
52,5,M,29
53,6,M,31
54,6,M,25
55,6,M,33
56,6,M,31
57,6,M,32
58,6,M,30
59,6,M,33
60,7,F,27
61,7,F,37
62,7,F,36
63,7,F,35
64,7,F,36
65,7,F,26
66,0,NULL,NULL
67,0,NULL,NULL
68,0,NULL,NULL
69,0,NULL,NULL
70,0,NULL,NULL
71,0,NULL,NULL
72,0,NULL,NULL
73,0,NULL,NULL
74,0,NULL,NULL
75,0,NULL,NULL
76,0,NULL,NULL
77,8,M,32
78,8,M,38
79,8,M,35
80,8,M,33
81,8,M,26
82,8,M,37
83,8,M,28
84,8,M,30
85,0,NULL,NULL
86,0,NULL,NULL
87,0,NULL,NULL
88,0,NULL,NULL
89,0,NULL,NULL
90,0,NULL,NULL
91,0,NULL,NULL
92,8,M,25
93,8,M,35
94,0,NULL,NULL
95,0,NULL,NULL
96,0,NULL,NULL
97,9,F,31
98,9,F,36
99,9,F,37
100,9,F,37
101,9,F,28
102,9,F,29
103,9,F,37
104,0,NULL,NULL
105,0,NULL,NULL
106,0,NULL,NULL
107,0,NULL,NULL
108,0,NULL,NULL
109,0,NULL,NULL
110,0,NULL,NULL
111,0,NULL,NULL
112,0,NULL,NULL
113,0,NULL,NULL
114,0,NULL,NULL
115,0,NULL,NULL
116,0,NULL,NULL
117,0,NULL,NULL
118,0,NULL,NULL
119,0,NULL,NULL
120,0,NULL,NULL
121,0,NULL,NULL
122,0,NULL,NULL
123,0,NULL,NULL
124,10,M,36
125,10,M,24
126,10,M,35
127,10,M,31
128,10,M,37
129,10,M,36
130,10,M,28
131,10,M,37
132,11,M,36
133,11,M,25
134,11,M,30
135,11,M,34
136,11,M,37
137,11,M,25
138,11,M,25
139,11,M,26
140,11,M,24
141,11,M,26
142,11,M,33
143,0,NULL,NULL
144,0,NULL,NULL
145,0,NULL,NULL
146,0,NULL,NULL
147,0,NULL,NULL
148,0,NULL,NULL
149,0,NULL,NULL
150,0,NULL,NULL
151,0,NULL,NULL
152,0,NULL,NULL
153,0,NULL,NULL
154,0,NULL,NULL
155,0,NULL,NULL
156,0,NULL,NULL
157,0,NULL,NULL
158,0,NULL,NULL
159,0,NULL,NULL
160,0,NULL,NULL
161,0,NULL,NULL
162,0,NULL,NULL
163,0,NULL,NULL
164,0,NULL,NULL
165,0,NULL,NULL
166,0,NULL,NULL
167,0,NULL,NULL
168,0,NULL,NULL
169,0,NULL,NULL
170,0,NULL,NULL
171,0,NULL,NULL
172,0,NULL,NULL
173,0,NULL,NULL
174,0,NULL,NULL
175,0,NULL,NULL
176,0,NULL,NULL
177,12,F,29
178,12,F,34
179,12,F,29
180,12,F,27
181,12,F,24
182,12,F,31
183,12,F,30
184,0,NULL,NULL
185,0,NULL,NULL
186,0,NULL,NULL
187,0,NULL,NULL
188,0,NULL,NULL
189,0,NULL,NULL
190,0,NULL,NULL
191,0,NULL,NULL
192,0,NULL,NULL
193,0,NULL,NULL
194,13,M,32
195,13,M,30
196,13,M,31
197,13,M,35
198,13,M,28
199,13,M,26
200,13,M,34
201,13,M,30
202,0,NULL,NULL
203,0,NULL,NULL
204,0,NULL,NULL
205,0,NULL,NULL
206,0,NULL,NULL
207,0,NULL,NULL
208,0,NULL,NULL
209,0,NULL,NULL
210,0,NULL,NULL
211,0,NULL,NULL
212,0,NULL,NULL
213,0,NULL,NULL
214,0,NULL,NULL
215,0,NULL,NULL
216,0,NULL,NULL
217,0,NULL,NULL
218,0,NULL,NULL
219,0,NULL,NULL
220,0,NULL,NULL
221,0,NULL,NULL
222,0,NULL,NULL
223,0,NULL,NULL
224,0,NULL,NULL
225,0,NULL,NULL
226,0,NULL,NULL
227,0,NULL,NULL
228,0,NULL,NULL
229,0,NULL,NULL
230,0,NULL,NULL
231,0,NULL,NULL
232,0,NULL,NULL
233,0,NULL,NULL
234,0,NULL,NULL
235,0,NULL,NULL
236,0,NULL,NULL
237,0,NULL,NULL
238,0,NULL,NULL
239,0,NULL,NULL
240,0,NULL,NULL
241,14,M,33
242,14,M,33
243,14,M,33
244,14,M,26
245,14,M,27
246,14,M,25
247,15,F,26
248,15,F,24
249,15,F,29
250,15,F,35
251,15,F,30
252,15,F,30
253,15,F,38
254,0,NULL,NULL
255,0,NULL,NULL
256,0,NULL,NULL
257,0,NULL,NULL
258,0,NULL,NULL
259,0,NULL,NULL
260,0,NULL,NULL
261,0,NULL,NULL
262,0,NULL,NULL
263,0,NULL,NULL
264,0,NULL,NULL
265,0,NULL,NULL
266,0,NULL,NULL
267,0,NULL,NULL
268,0,NULL,NULL
269,0,NULL,NULL
270,0,NULL,NULL
271,0,NULL,NULL
272,0,NULL,NULL
273,0,NULL,NULL
274,0,NULL,NULL
275,0,NULL,NULL
276,0,NULL,NULL
277,16,M,32
278,16,M,37
279,16,M,37
280,16,M,25
281,16,M,27
282,16,M,28
283,16,M,36
284,16,M,35
285,16,M,24
286,16,M,25
287,16,M,35
288,16,M,31
289,16,M,26
290,16,M,32
291,0,NULL,NULL
292,0,NULL,NULL
293,0,NULL,NULL
294,0,NULL,NULL
