time ,id ,gender ,age 
1,0,NULL,NULL
2,0,NULL,NULL
3,0,NULL,NULL
4,0,NULL,NULL
5,0,NULL,NULL
6,1,F,32
7,2,M,33
8,2,M,32
9,2,M,31
10,1,F,36
11,2,M,30
12,1,F,35
13,2,M,31
14,2,M,32
15,2,M,11
16,2,M,12
17,1,F,35
18,2,M,35
19,2,M,34
20,2,M,10
21,1,F,36
22,2,M,32
23,1,F,34
24,1,F,33
25,2,M,32
26,1,F,36
27,3,F,37
28,1,F,35
29,3,F,28
30,3,F,28
31,3,F,30
32,3,F,35
33,1,F,35
34,1,F,33
35,1,F,31
36,1,F,35
37,1,F,28
38,1,F,34
39,1,F,31
40,1,F,32
41,3,F,28
42,1,F,33
43,3,F,29
44,3,F,33
45,3,F,32
46,3,F,36
47,3,F,37
48,3,F,35
49,3,F,34
50,3,F,33
51,3,F,28
52,3,F,36
53,3,F,33
54,1,F,35
55,3,F,32
56,1,F,37
57,1,F,28
58,3,F,30
59,1,F,36
60,1,F,32
61,1,F,29
62,1,F,31
63,0,NULL,NULL
64,0,NULL,NULL
65,0,NULL,NULL
66,0,NULL,NULL
67,0,NULL,NULL
68,0,NULL,NULL
69,0,NULL,NULL
70,0,NULL,NULL
71,0,NULL,NULL
72,0,NULL,NULL
73,0,NULL,NULL
74,0,NULL,NULL
75,0,NULL,NULL
76,0,NULL,NULL
77,0,NULL,NULL
78,0,NULL,NULL
79,0,NULL,NULL
80,0,NULL,NULL
81,0,NULL,NULL
82,0,NULL,NULL
83,0,NULL,NULL
84,0,NULL,NULL
85,0,NULL,NULL
86,0,NULL,NULL
87,0,NULL,NULL
88,0,NULL,NULL
89,0,NULL,NULL
90,4,F,32
91,4,F,30
92,4,F,31
93,4,F,29
94,4,F,30
95,4,F,31
96,4,F,35
97,4,F,34
98,4,F,37
99,4,F,33
100,4,F,28
101,4,F,29
102,4,F,34
103,4,F,30
104,4,F,33
105,5,M,37
106,5,M,33
107,5,M,33
108,5,M,34
109,5,M,34
110,5,M,32
111,5,M,32
112,5,M,34
113,5,M,29
114,5,M,29
115,5,M,30
116,5,M,31
117,5,M,37
118,5,M,29
119,5,M,35
120,5,M,29
121,5,M,35
122,5,M,30
123,5,M,35
124,5,M,31
125,5,M,32
126,5,M,33
127,5,M,35
128,5,M,37
129,5,M,39
130,5,M,35
131,0,M,33
132,0,NULL,NULL
133,0,NULL,NULL
134,0,NULL,NULL
135,0,NULL,NULL
136,0,NULL,NULL
137,0,NULL,NULL
138,0,NULL,NULL
139,0,NULL,NULL
140,0,NULL,NULL
141,0,NULL,NULL
142,0,NULL,NULL
143,0,NULL,NULL
144,0,NULL,NULL
145,0,NULL,NULL
146,0,NULL,NULL
147,0,NULL,NULL
148,0,NULL,NULL
149,0,NULL,NULL
150,0,NULL,NULL
151,0,NULL,NULL
152,0,NULL,NULL
153,0,NULL,NULL
154,6,M,33
155,6,M,30
156,6,M,29
157,6,M,28
158,6,M,30
159,6,M,37
160,6,M,31
161,6,M,35
162,6,M,36
163,6,M,37
164,6,M,38
165,6,M,39
166,6,M,33
167,6,M,35
168,0,NULL,NULL
169,0,NULL,NULL
170,0,NULL,NULL
171,0,NULL,NULL
172,0,NULL,NULL
173,0,NULL,NULL
174,0,NULL,NULL
175,0,NULL,NULL
176,0,NULL,NULL
177,0,NULL,NULL
178,0,NULL,NULL
179,0,NULL,NULL
180,0,NULL,NULL
181,0,NULL,NULL
182,0,NULL,NULL
183,0,NULL,NULL
184,0,NULL,NULL
185,0,NULL,NULL
186,0,NULL,NULL
187,0,NULL,NULL
188,0,NULL,NULL
189,0,NULL,NULL
190,0,NULL,NULL
191,0,NULL,NULL
192,0,NULL,NULL
193,0,NULL,NULL
194,0,NULL,NULL
195,0,NULL,NULL
196,0,NULL,NULL
197,0,NULL,NULL
198,0,NULL,NULL
199,0,NULL,NULL
200,0,NULL,NULL
201,0,NULL,NULL
202,0,NULL,NULL
203,0,NULL,NULL
204,0,NULL,NULL
205,0,NULL,NULL
206,0,NULL,NULL
207,0,NULL,NULL
208,0,NULL,NULL
209,0,NULL,NULL
210,0,NULL,NULL
211,0,NULL,NULL
212,0,NULL,NULL
213,0,NULL,NULL
214,0,NULL,NULL
215,0,NULL,NULL
216,0,NULL,NULL
217,0,NULL,NULL
218,0,NULL,NULL
219,0,NULL,NULL
220,0,NULL,NULL
221,0,NULL,NULL
222,0,NULL,NULL
223,0,NULL,NULL
224,0,NULL,NULL
225,0,NULL,NULL
226,0,NULL,NULL
227,0,NULL,NULL
228,0,NULL,NULL
229,0,NULL,NULL
230,0,NULL,NULL
231,0,NULL,NULL
232,0,NULL,NULL
233,7,F,28
234,7,F,27
235,7,F,32
236,7,F,30
237,7,F,28
238,7,F,29
239,7,F,28
240,7,F,30
241,7,F,29
242,7,F,33
243,7,F,36
244,7,F,30
245,7,F,28
246,7,F,28
247,7,F,28
248,7,F,36
249,7,F,30
250,7,F,36
251,7,F,36
252,7,F,28
253,7,F,35
254,7,F,28
255,8,M,35
256,8,M,33
257,8,M,35
258,8,M,34
259,8,M,30
260,8,M,31
261,8,M,29
262,8,M,36
263,8,M,30
264,8,M,29
265,8,M,35
266,8,M,28
267,8,M,35
268,8,M,37
269,8,M,35
270,0,NULL,NULL
271,0,NULL,NULL
272,0,NULL,NULL
273,0,NULL,NULL
274,0,NULL,NULL
275,0,NULL,NULL
276,0,NULL,NULL
277,0,NULL,NULL
278,0,NULL,NULL
279,0,NULL,NULL
280,0,NULL,NULL
281,0,NULL,NULL
282,0,NULL,NULL
283,9,M,34
284,9,M,29
285,9,M,32
286,9,M,36
287,9,M,36
288,9,M,37
289,9,M,32
290,9,M,34
291,9,M,28
292,9,M,33
293,9,M,36
294,9,M,37
295,9,M,35
296,9,M,33
297,9,M,32
298,9,M,35
299,9,M,30
300,9,M,39
301,9,M,40
302,9,M,32
303,9,M,33
304,9,M,37
305,9,M,38
